Name,Material,Width,Depth,Factored Moment Resistance (ft-lbs),Factored Shear Resistance (lbs),Moment of Inertia (in.4),Weight (plf),Modulus of Elasticity (psi),Apparent Modulus of Elasticity (psi),Compression Perpendicular to Grain (psi),Horizontal Shear Parallel to Grain (psi)
1.75x9.5 LSL,LSL,1.75,9.5,8665,5735,125,5,1550000,1497000,1635,575
1.75x11.875 LSL,LSL,1.75,11.875,13260,7170,244,7,1550000,1550000,1635,575
1.75x14 LSL,LSL,1.75,14,18155,8455,400,8,1550000,1550000,1635,575
1.75x16 LSL,LSL,1.75,16,23425,9660,597,9,1550000,1550000,1635,575
1.75x5.25 LVL,LVL,1.75,5.25,3535,3060,24,3,2000000,1932000,1365,530
1.75x5.25.1 LVL,LVL,1.75,5.25,5915,4035,56,4,2000000,1932000,1365,530
1.75x9.25 LVL,LVL,1.75,9.25,9315,5150,115,5,2000000,1932000,1365,530
1.75x9.5 LVL,LVL,1.75,9.5,9790,5285,125,5,2000000,1932000,1365,530
1.75x11.25 LVL,LVL,1.75,11.25,13420,6260,208,6,2000000,1932000,1365,530
1.75x11.875 LVL,LVL,1.75,11.875,14845,6610,244,6,2000000,1932000,1365,530
1.75x14 LVL,LVL,1.75,14,20175,7790,400,7,2000000,1932000,1365,530
1.75x16 LVL,LVL,1.75,16,25875,8905,597,8,2000000,1932000,1365,530
1.75x18 LVL,LVL,1.75,18,32230,10015,851,9,2000000,1932000,1365,530
1.75x20 LVL,LVL,1.75,20,39220,11130,1167,10,2000000,1932000,1365,530
3.5x9.25 PSL,PSL,3.5,9.25,20655,10490,231,10,2200000,2126000,1135,540
3.5x9.5 PSL,PSL,3.5,9.5,21720,10775,250,10,2200000,2126000,1135,540
3.5x11.25 PSL,PSL,3.5,11.25,29890,12760,415,12,2200000,2126000,1135,540
3.5x11.875 PSL,PSL,3.5,11.875,33105,13465,488,13,2200000,2126000,1135,540
3.5x14 PSL,PSL,3.5,14,45180,15875,800,15,2200000,2126000,1135,540
3.5x16 PSL,PSL,3.5,16,58145,18145,1195,18,2200000,2126000,1135,540
3.5x19 PSL,PSL,3.5,19,80445,21545,2001,21,2200000,2126000,1135,540
5.25x9.25 PSL,PSL,5.25,9.25,30980,15735,346,15,2200000,2126000,1135,540
5.25x9.5 PSL,PSL,5.25,9.5,32580,16160,375,16,2200000,2126000,1135,540
5.25x11.25 PSL,PSL,5.25,11.25,44840,19135,623,19,2200000,2126000,1135,540
5.25x11.875 PSL,PSL,5.25,11.875,49660,20200,733,20,2200000,2126000,1135,540
5.25x14 PSL,PSL,5.25,14,67775,23815,1201,23,2200000,2126000,1135,540
5.25x16 PSL,PSL,5.25,16,87220,27215,1792,26,2200000,2126000,1135,540
5.25x19 PSL,PSL,5.25,19,120665,32320,3001,31,2200000,2126000,1135,540
7x9.25 PSL,PSL,7,9.25,41305,20980,462,20,2200000,2126000,1135,540
7x9.5 PSL,PSL,7,9.5,43440,21545,500,21,2200000,2126000,1135,540
7x11.25 PSL,PSL,7,11.25,59785,25515,831,25,2200000,2126000,1135,540
7x11.875 PSL,PSL,7,11.875,66215,26935,977,26,2200000,2126000,1135,540
7x14 PSL,PSL,7,14,90365,31750,1601,31,2200000,2126000,1135,540
7x16 PSL,PSL,7,16,116290,36290,2389,35,2200000,2126000,1135,540
7x19 PSL,PSL,7,19,160890,43090,4001,42,2200000,2126000,1135,540
3.5x3.5 PSL,PSL,3.5,3.5,2725.2,2609.3,13,3.8,1800000,,775,355
3.5x5.25 PSL,PSL,3.5,5.25,5861.9,3913.9,42,5.7,1800000,,775,355
3.5x7 PSL,PSL,3.5,7,10093.7,5218.5,100,7.6,1800000,,775,355
5.25x5.25 PSL,PSL,5.25,5.25,8792.9,5870.8,63,8.6,1800000,,775,355
5.25x7 PSL,PSL,5.25,7,15140.6,7827.8,150,11.5,1800000,,775,355
7x7 PSL,PSL,7,7,20187.4,10437,200,15.3,1800000,,775,355
